"player","rapm"
ROU-30,-1.6209198579747983
DEN-77,-0.45442191240727964
MNE-43,1.7297587952884568
RUS-27,-0.3273048556984826
NOR-10,-0.5075978350914122
NOR-66,-0.5055682312860851
RUS-36,1.2430074660307355
ESP-36,0.05367033431289
SRB-71,1.4653615879325497
SLO-12,0.02779490592413298
RUS-1,3.2923824191268083
SWE-43,0.1338746160134916
NOR-16,1.4155640915881205
SWE-63,0.15461552476212292
SWE-7,0.5994718509994699
GER-33,1.021023951015231
NOR-77,-0.3126763713034353
FRA-12,0.7449817709984127
POL-49,-3.306710671020158
ROU-48,-0.9438062462482538
ESP-7,0.05367033431280668
CRO-1,-1.8972463214867383
CZE-3,0.514907218638974
HUN-76,-0.4713022296255241
SWE-25,-0.45011996917328667
CRO-15,-3.3215016177272223
DEN-11,1.0472413045892173
SRB-16,0.7410119338307973
GER-66,-0.7902455053713355
SWE-20,0.06101624812900707
FRA-8,0.7139961767062022
DEN-80,-0.454421912407185
NED-31,2.198278723193996
NOR-8,0.24217930913733893
CZE-29,0.14034294608005551
MNE-10,-1.6800773903068034
CRO-10,-3.467311228354093
FRA-1,1.8090259868109662
GER-31,-0.5769635611681312
RUS-4,3.1145439837039306
NOR-23,3.3723616901817572
SWE-21,-0.4501199691732331
SWE-2,2.4122021716314044
ROU-66,0.07498524310212186
NOR-21,0.28557021197243415
FRA-19,-0.30062714882171454
NOR-1,3.7099879010978416
DEN-1,1.4637144220307066
GER-22,-0.4591480916823656
FRA-10,-0.021043821650626588
SWE-26,0.033188562675484104
CRO-2,0.8833313190056397
NED-19,-2.686794821104912
MNE-12,-1.39676338158747
HUN-23,-2.226558667579333
HUN-42,-1.2590073277115506
GER-2,1.4179764910156625
MNE-4,0.8361915532344872
CZE-6,1.0572756098868465
DEN-8,0.300069169859879
ROU-42,-0.9438062462483142
ESP-44,-3.014317880784109
SLO-6,0.33023630150080274
GER-9,0.012521060763212313
NED-12,0.12001082500196385
DEN-24,0.03729832547168109
NOR-91,-0.31267637130340065
DEN-17,1.2468405552477022
CRO-77,-1.3484060793554875
NOR-2,-2.5115938521831764
ROU-27,2.0767962719043402
RUS-51,0.9944639758829361
FRA-11,-0.5855465796442055
GER-30,-1.1027921428501526
NOR-17,2.827446061711598
SRB-15,-2.0936062206955124
CRO-27,-1.1800357433418478
NED-17,2.1982787231939453
SRB-6,-0.6728914966422992
GER-13,0.8568461728298339
SLO-80,0.02779490592402257
MNE-26,-0.19237336388168383
ROU-8,2.041019182772653
RUS-25,2.033750068486567
NED-91,0.30734802744277673
SLO-1,0.5993595324774212
SWE-71,0.13387461601344824
CZE-51,-0.446801440264778
DEN-32,-0.01075806461032831
ESP-15,0.9419675979297447
ESP-39,-0.7854644891916374
MNE-27,-0.1923733638817228
GER-11,-2.7162387293226447
CZE-9,0.14039808478096333
ROU-10,0.48033181587490126
RUS-63,0.8673573363529871
CZE-4,1.057275609886857
DEN-66,-0.4544219124072198
SRB-4,-2.930604469667065
NED-48,-2.178887569058862
NED-18,0.04748167919061986
ESP-63,0.05367033431276607
RUS-77,0.48464774348681566
SRB-21,-1.1545330929407172
ESP-96,-0.2611573501174505
ROU-17,-2.680254879926984
NOR-12,-3.015748427778791
SWE-99,-0.09453166215944757
RUS-3,0.9944639758828744
CZE-11,-2.2312842195006652
ROU-7,4.053851962027925
SLO-23,-0.024815979157564862
GER-32,-0.4980743330867377
POL-27,-1.2184864518717247
NED-67,-1.066259474440146
CRO-17,-2.329311235365715
DEN-2,-0.46365439769777045
GER-8,1.6534530509381917
NOR-11,3.1144583237403687
SRB-8,-0.6728804851051806
CRO-44,-0.8647887595277586
CZE-22,0.16502534623081422
NED-88,-1.0662594744401224
CZE-44,0.9650765142755572
SWE-29,-0.4257253167288785
ESP-1,0.053670334312835584
NED-30,-0.3911188212311754
NOR-27,-1.6121747747956083
DEN-35,-0.5212476095595308
NED-20,-3.0733179373127255
NOR-28,2.521984098318407
DEN-10,0.46701388490348755
HUN-71,-0.2304934841332624
POL-29,-1.218486451871677
GER-10,0.01252106076322041
FRA-29,-1.2858571148366476
FRA-64,-0.47070613610541817
CRO-71,-1.1800357433418815
SWE-61,-0.09453166215940409
ESP-21,-0.9905037673907519
ESP-67,0.053670334312850995
ROU-33,0.4803318158748547
SLO-10,-0.6811948217659509
DEN-23,-0.731273930232226
NOR-6,0.7532019350691624
NED-7,1.5460127433658268
NOR-64,-1.6121747747956028
ROU-11,-3.9158712351658083
HUN-10,-0.6109634743644605
POL-10,2.1948585275987487
RUS-17,0.9337847116707814
ESP-8,-2.2817898925992997
SRB-25,-1.8825077535298909
RUS-34,3.3309476100475295
RUS-23,-2.7874476833717905
GER-12,1.4229511061027964
ROU-6,-0.18323120073766527
POL-15,-1.2184864518716978
HUN-26,-0.6109634743644016
CRO-91,-0.061390872785993054
NED-10,0.7659243818099946
GER-19,1.0639686810111466
DEN-34,-1.104779751228929
SLO-96,0.02779490592407504
ESP-26,-1.7535779007644225
CZE-25,-0.4532087629663878
SWE-10,1.2632841889889233
DEN-9,0.720352666569139
SWE-23,0.6027652210790997
ESP-6,0.9292531218732663
MNE-80,0.43815405266858304
ESP-9,0.05367033431285358
CRO-33,-1.1800357433418558
DEN-19,0.008683619825026634
DEN-91,-0.5212476095595369
CRO-23,-0.8937449955592135
SLO-25,-0.19049501087003298
NED-8,2.204217033367636
POL-11,5.135879468948468
CRO-20,4.377701489033101
CZE-23,0.1403429460800684
POL-3,-1.2184864518717107
NOR-26,-0.20891461059715896
NOR-5,-1.2585084310098986
