"GAME_ID","GAME_DATE,","GAME_TIME","TEAM","OPPONENT","P1","P2","P3","P4","P5","P6","P7","TIME_ELAPSED","GF","GA"
"PDF_P01LU.PDF","THU 9 JAN 2020","20:30","CRO","MNE","CRO-7","CRO-13","CRO-18","CRO-28","CRO-33","CRO-50","0:10","0","1"
"PDF_P01LU.PDF","THU 9 JAN 2020","20:30","CRO","MNE","CRO-7","CRO-18","CRO-33","CRO-36","CRO-39","CRO-53","0:10","0","0"
"PDF_P01LU.PDF","THU 9 JAN 2020","20:30","CRO","MNE","CRO-3","CRO-5","CRO-13","CRO-28","CRO-30","CRO-33","CRO-50","0:08","1","0"
"PDF_P01LU.PDF","THU 9 JAN 2020","20:30","CRO","MNE","CRO-5","CRO-7","CRO-13","CRO-28","CRO-30","CRO-50","0:07","0","0"
"PDF_P01LU.PDF","THU 9 JAN 2020","20:30","CRO","MNE","CRO-6","CRO-18","CRO-28","CRO-33","CRO-36","CRO-39","0:04","0","0"
"PDF_P01LU.PDF","THU 9 JAN 2020","20:30","MNE","CRO","MNE-6","MNE-18","MNE-28","MNE-33","MNE-36","MNE-39","MNE-55","7:34","3","5"
"PDF_P01LU.PDF","THU 9 JAN 2020","20:30","MNE","CRO","MNE-6","MNE-18","MNE-28","MNE-33","MNE-36","MNE-39","MNE-55","6:42","2","1"
"PDF_P01LU.PDF","THU 9 JAN 2020","20:30","MNE","CRO","MNE-6","MNE-18","MNE-28","MNE-33","MNE-36","MNE-39","MNE-55","3:03","1","1"
"PDF_P01LU.PDF","THU 9 JAN 2020","20:30","MNE","CRO","MNE-6","MNE-18","MNE-28","MNE-33","MNE-36","MNE-39","MNE-55","2:40","0","1"
"PDF_P01LU.PDF","THU 9 JAN 2020","20:30","MNE","CRO","MNE-6","MNE-18","MNE-28","MNE-33","MNE-36","MNE-39","MNE-55","2:26","1","0"
"PDF_P01LU.PDF","THU 9 JAN 2020","20:30","MNE","CRO","MNE-6","MNE-18","MNE-28","MNE-33","MNE-36","MNE-39","MNE-55","2:23","1","1"
"PDF_P01LU.PDF","THU 9 JAN 2020","20:30","MNE","CRO","MNE-6","MNE-18","MNE-28","MNE-33","MNE-36","MNE-39","MNE-55","2:20","1","0"
"PDF_P01LU.PDF","THU 9 JAN 2020","20:30","MNE","CRO","MNE-6","MNE-18","MNE-28","MNE-33","MNE-36","MNE-39","MNE-55","2:19","0","1"
"PDF_P01LU.PDF","THU 9 JAN 2020","20:30","MNE","CRO","MNE-6","MNE-18","MNE-28","MNE-33","MNE-36","MNE-39","MNE-55","1:53","1","1"
"PDF_P01LU.PDF","THU 9 JAN 2020","20:30","MNE","CRO","MNE-6","MNE-18","MNE-28","MNE-33","MNE-36","MNE-39","MNE-55","1:50","0","0"
"PDF_P01LU.PDF","THU 9 JAN 2020","20:30","MNE","CRO","MNE-6","MNE-18","MNE-28","MNE-33","MNE-36","MNE-39","MNE-55","1:48","0","1"
"PDF_P01LU.PDF","THU 9 JAN 2020","20:30","MNE","CRO","MNE-6","MNE-18","MNE-28","MNE-33","MNE-36","MNE-39","MNE-55","1:34","2","1"
"PDF_P01LU.PDF","THU 9 JAN 2020","20:30","MNE","CRO","MNE-6","MNE-18","MNE-28","MNE-33","MNE-36","MNE-39","MNE-55","1:33","0","1"
"PDF_P01LU.PDF","THU 9 JAN 2020","20:30","MNE","CRO","MNE-6","MNE-18","MNE-28","MNE-33","MNE-36","MNE-39","MNE-55","1:28","1","1"
"PDF_P01LU.PDF","THU 9 JAN 2020","20:30","MNE","CRO","MNE-6","MNE-18","MNE-28","MNE-33","MNE-36","MNE-39","MNE-55","1:23","0","0"
"PDF_P01LU.PDF","THU 9 JAN 2020","20:30","MNE","CRO","MNE-6","MNE-18","MNE-28","MNE-33","MNE-36","MNE-39","MNE-55","1:19","0","1"
"PDF_P01LU.PDF","THU 9 JAN 2020","20:30","MNE","CRO","MNE-6","MNE-18","MNE-28","MNE-33","MNE-36","MNE-39","MNE-55","1:10","0","1"
"PDF_P01LU.PDF","THU 9 JAN 2020","20:30","MNE","CRO","MNE-6","MNE-18","MNE-28","MNE-33","MNE-36","MNE-39","MNE-55","1:06","1","1"
"PDF_P01LU.PDF","THU 9 JAN 2020","20:30","MNE","CRO","MNE-6","MNE-18","MNE-28","MNE-33","MNE-36","MNE-39","MNE-55","1:02","1","1"
"PDF_P01LU.PDF","THU 9 JAN 2020","20:30","MNE","CRO","MNE-6","MNE-18","MNE-28","MNE-33","MNE-36","MNE-39","MNE-55","0:59","1","0"
